EV-KP-product_attribute-engine-card-vs-play-card-shell,Q2-内容类型种子/_shared-narrative-engines-v0.1.md,与 13 份 ContentType 交付物的关键差异点,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-engine-card-vs-play-card-shell
EV-KP-product_attribute-play-card-scenario-tag-three-values,Q2-内容类型种子/_shared-narrative-engines-v0.1.md,§H.2 β 适用场景标签,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-play-card-scenario-tag-three-values
EV-KP-product_attribute-play-card-tier-three-values,Q2-内容类型种子/_shared-narrative-engines-v0.1.md,§J.1 玩法分级标准,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-play-card-tier-three-values
EV-KP-product_attribute-storyboard-30s-dual-decoding,Q2-内容类型种子/_shared-narrative-engines-v0.1.md,§J.3 字段语义映射标准,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-storyboard-30s-dual-decoding
EV-KP-product_attribute-troop-facing-register-five-fields,Q2-内容类型种子/_shared-narrative-engines-v0.1.md,§H.5 兵团向口径,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-troop-facing-register-five-fields
EV-KP-training_unit-ai-tone-banned-list-veto,Q2-内容类型种子/_shared-narrative-engines-v0.1.md,§H.1 α 层 9 种 AI 腔禁用清单,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-ai-tone-banned-list-veto
EV-KP-training_unit-body-shape-objection-structure-points,Q7Q12-搭配陈列业务包/培训与纠错包.md,五、C3 body_shape_objection,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-body-shape-objection-structure-points
EV-KP-training_unit-engine-vs-play-by-cross-ct-test,Q2-内容类型种子/_shared-narrative-engines-v0.1.md,本文件是什么 + §D 矩阵范围说明 + §I 候选引擎登记规则,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-engine-vs-play-by-cross-ct-test
EV-KP-training_unit-grounding-over-polish-default,Q2-内容类型种子/_shared-narrative-engines-v0.1.md,§E 趋势 1 + 趋势 4.2,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-grounding-over-polish-default
EV-KP-training_unit-shared-layer-registration-not-rewrite,Q2-内容类型种子/_shared-narrative-engines-v0.1.md,版本记录 v0.1.4 + v0.1.5 + G7/G8 落盘说明,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-shared-layer-registration-not-rewrite
