VS-COMPATIBLE_WITH-support,,,,domain_general,KP-product_attribute-compatibility-edge-support-risk-reason-shell
VS-COMPATIBLE_WITH-support,,,,domain_general,KP-product_attribute-compatibility-edge-support-risk-reason-shell
VS-COMPATIBLE_WITH-support,,,,domain_general,KP-product_attribute-compatibility-edge-support-risk-reason-shell
VS-COMPATIBLE_WITH-support,,,,domain_general,KP-product_attribute-compatibility-edge-support-risk-reason-shell
VS-COMPATIBLE_WITH-risk,,,,domain_general,KP-product_attribute-compatibility-edge-support-risk-reason-shell
VS-COMPATIBLE_WITH-risk,,,,domain_general,KP-product_attribute-compatibility-edge-support-risk-reason-shell
VS-COMPATIBLE_WITH-risk,,,,domain_general,KP-product_attribute-compatibility-edge-support-risk-reason-shell
VS-DerivedView-display_tier,,,,domain_general,KP-product_attribute-compatibility-derived-view-combination-formula
VS-DerivedView-display_tier,,,,domain_general,KP-product_attribute-compatibility-derived-view-combination-formula
VS-DerivedView-display_tier,,,,domain_general,KP-product_attribute-compatibility-derived-view-combination-formula
VS-DerivedView-display_tier,,,,domain_general,KP-product_attribute-compatibility-derived-view-combination-formula
