EV-KP-product_attribute-content-type-north-star-founder-ip,Q2-内容类型种子/founder_ip-交付物-v0.1.md,§A 北极星 + §C1 + §E 红线 + 差异点对比,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-content-type-north-star-founder-ip
EV-KP-product_attribute-content-type-north-star-knowledge-sharing,Q2-内容类型种子/knowledge_sharing-交付物-v0.1.md,§A + §C1 + §E + §D,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-content-type-north-star-knowledge-sharing
EV-KP-product_attribute-content-type-north-star-talent-showcase,Q2-内容类型种子/talent_showcase-交付物-v0.1.md,§A + §C1 + §E,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-content-type-north-star-talent-showcase
EV-KP-product_attribute-content-type-north-star-training-material,Q2-内容类型种子/training_material-交付物-v0.1.md,§A + §⚠️ 兵团向口径 + §C1,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-content-type-north-star-training-material
EV-KP-styling_rule-behind-scenes-invisible-completion-cost,Q2-内容类型种子/behind_the_scenes-交付物-v0.1.md,§C2-2 + §A,,explicit_play_card,direct_quote,domain_general,KP-styling_rule-behind-scenes-invisible-completion-cost
EV-KP-styling_rule-old-sample-as-error-archive,Q2-内容类型种子/founder_ip-交付物-v0.1.md,§C3-1 + §B9 + §D,,explicit_business_decision,direct_quote,domain_general,KP-styling_rule-old-sample-as-error-archive
EV-KP-styling_rule-talent-showcase-micro-skill-hundred-reps,Q2-内容类型种子/talent_showcase-交付物-v0.1.md,§C3-2 + §D 微技能打磨,,explicit_play_card,direct_quote,domain_general,KP-styling_rule-talent-showcase-micro-skill-hundred-reps
EV-KP-training_unit-error-first-then-correct-replay,Q2-内容类型种子/training_material-交付物-v0.1.md,§C3-1,,explicit_play_card,direct_quote,domain_general,KP-training_unit-error-first-then-correct-replay
EV-KP-training_unit-event-documentary-long-term-tier-discipline,Q2-内容类型种子/event_documentary-交付物-v0.1.md,实拍可行性基线 + §C C3-6 玩法分级 long_term,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-event-documentary-long-term-tier-discipline
EV-KP-training_unit-humor-content-brand-tone-gate-for-puppetry,Q2-内容类型种子/humor_content-交付物-v0.1.md,§C C3-5 🎨 品牌调性提示 + §G G2/G3,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-humor-content-brand-tone-gate-for-puppetry
EV-KP-training_unit-humor-content-clothing-as-persona-switch,Q2-内容类型种子/humor_content-交付物-v0.1.md,§C C3-2 + §D 第 2 条,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-humor-content-clothing-as-persona-switch
EV-KP-training_unit-lifestyle-expression-old-defines-premium,Q2-内容类型种子/lifestyle_expression-交付物-v0.1.md,§C C3-5 + §D 第 3 条,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-lifestyle-expression-old-defines-premium
EV-KP-training_unit-lifestyle-expression-values-via-rejection,Q2-内容类型种子/lifestyle_expression-交付物-v0.1.md,§C C3-1 + §D 第 2 条,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-lifestyle-expression-values-via-rejection
EV-KP-training_unit-process-trace-stop-the-bad-one-builds-trust,Q2-内容类型种子/process_trace-交付物-v0.1.md,§A + §C C3-3 + §C C1-1 反例,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-process-trace-stop-the-bad-one-builds-trust
EV-KP-training_unit-sop-asmr-procedural-memory,Q2-内容类型种子/training_material-交付物-v0.1.md,§C3-4,,explicit_play_card,direct_quote,domain_general,KP-training_unit-sop-asmr-procedural-memory
EV-KP-training_unit-talent-showcase-rescue-not-show-off,Q2-内容类型种子/talent_showcase-交付物-v0.1.md,§A + §C C3-1 + §B9,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-talent-showcase-rescue-not-show-off
