CM-store_training-KP-training_unit-microlearning-not-long-course,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-microlearning-not-long-course""]}",domain_general,KP-training_unit-microlearning-not-long-course
CM-store_training-KP-training_unit-priority-by-impact-frequency-trust,store_training,"[""TrainingMaterial""]","[""TrainingPriorityList""]","{""governed_by"":[""RL-KP-training_unit-priority-by-impact-frequency-trust""]}",domain_general,KP-training_unit-priority-by-impact-frequency-trust
CM-store_training-KP-training_unit-standard-action-vs-judgment-skill,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-standard-action-vs-judgment-skill""]}",domain_general,KP-training_unit-standard-action-vs-judgment-skill
CM-store_training-KP-training_unit-customer-first-look-judgment,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-customer-first-look-judgment""]}",domain_general,KP-training_unit-customer-first-look-judgment
CM-store_training-KP-training_unit-try-on-guidance-one-main-one-backup,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-try-on-guidance-one-main-one-backup""]}",domain_general,KP-training_unit-try-on-guidance-one-main-one-backup
CM-store_training-KP-training_unit-body-shape-objection-structure-points,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-body-shape-objection-structure-points""]}",domain_general,KP-training_unit-body-shape-objection-structure-points
CM-store_training-KP-training_unit-fabric-touch-before-spec,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-fabric-touch-before-spec""]}",domain_general,KP-training_unit-fabric-touch-before-spec
CM-store_training-KP-training_unit-styling-error-top-priority-eight,store_training,"[""TrainingMaterial""]","[""TrainingPriorityList""]","{""governed_by"":[""RL-KP-training_unit-styling-error-top-priority-eight""]}",domain_general,KP-training_unit-styling-error-top-priority-eight
CM-store_training-KP-training_unit-substitution-honest-disclosure,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-substitution-honest-disclosure""]}",domain_general,KP-training_unit-substitution-honest-disclosure
CM-inventory_rescue-KP-training_unit-substitution-honest-disclosure,inventory_rescue,"[""InventoryState"",""CustomerScenario""]","[""RescueScript"",""RiskDisclosure""]","{""governed_by"":[""RL-KP-training_unit-substitution-honest-disclosure""]}",domain_general,KP-training_unit-substitution-honest-disclosure
CM-store_training-KP-training_unit-on-floor-four-layer-assessment,store_training,"[""TrainingMaterial""]","[""AssessmentProtocol""]","{""governed_by"":[""RL-KP-training_unit-on-floor-four-layer-assessment""]}",domain_general,KP-training_unit-on-floor-four-layer-assessment
CM-store_training-KP-training_unit-auto-trigger-rules,store_training,"[""TrainingMaterial"",""CustomerScenario"",""InventoryState""]","[""TrainingTriggerEvent""]","{""governed_by"":[""RL-KP-training_unit-auto-trigger-rules""]}",domain_general,KP-training_unit-auto-trigger-rules
CM-store_training-KP-training_unit-role-binding-frontline-priority,store_training,"[""TrainingMaterial"",""RoleProfile""]","[""TrainingDispatchPlan""]","{""governed_by"":[""RL-KP-training_unit-role-binding-frontline-priority""]}",domain_general,KP-training_unit-role-binding-frontline-priority
CM-store_training-KP-training_unit-color-hesitation-disambiguation,store_training,"[""TrainingMaterial""]","[""TrainingScript""]","{""governed_by"":[""RL-KP-training_unit-color-hesitation-disambiguation""]}",domain_general,KP-training_unit-color-hesitation-disambiguation
