EV-KP-product_attribute-compat-matrix-truth-source-layering,Q4-人设种子/phase-3-Q4-Persona-ContentType-Platform兼容矩阵.md,§1.1 + §1.2 + §9.1,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-compat-matrix-truth-source-layering
EV-KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel,Q4-人设种子/phase-3-Q4-Persona-ContentType-Platform兼容矩阵.md,§1.3 + §3.3,,explicit_business_decision,direct_quote,domain_general,KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel
EV-KP-service_judgment-derived-view-risk-inherits-from-source-edge,Q4-人设种子/phase-3-Q4-Persona-ContentType-Platform兼容矩阵.md,§6.1 第4步 + §6.3 示例2,,explicit_business_decision,direct_quote,domain_general,KP-service_judgment-derived-view-risk-inherits-from-source-edge
EV-KP-service_judgment-product-review-concerns-clearance-on-spot,Q2-内容类型种子/product_review-交付物-v0.1.md,§C3-2 + 备注 + 北极星 + B5,,explicit_play_card,direct_quote,domain_general,KP-service_judgment-product-review-concerns-clearance-on-spot
EV-KP-styling_rule-behind-scenes-parallel-split-screen,Q2-内容类型种子/behind_the_scenes-交付物-v0.1.md,§C3-2,,explicit_play_card,direct_quote,domain_general,KP-styling_rule-behind-scenes-parallel-split-screen
EV-KP-styling_rule-behind-scenes-store-soundprint,Q2-内容类型种子/behind_the_scenes-交付物-v0.1.md,§C3-4,,explicit_play_card,direct_quote,domain_general,KP-styling_rule-behind-scenes-store-soundprint
EV-KP-styling_rule-daily-fragment-fixed-corner-time-fold,Q2-内容类型种子/daily_fragment-交付物-v0.1.md,§C3-1,,explicit_play_card,direct_quote,domain_general,KP-styling_rule-daily-fragment-fixed-corner-time-fold
EV-KP-styling_rule-daily-fragment-sensory-sort-not-time,Q2-内容类型种子/daily_fragment-交付物-v0.1.md,§C3-3,,explicit_play_card,direct_quote,domain_general,KP-styling_rule-daily-fragment-sensory-sort-not-time
EV-KP-styling_rule-daily-fragment-single-chair-time-fold,Q2-内容类型种子/daily_fragment-交付物-v0.1.md,§C3-5,,explicit_play_card,direct_quote,domain_general,KP-styling_rule-daily-fragment-single-chair-time-fold
EV-KP-styling_rule-ootd-micro-suspense-decision-chain,Q2-内容类型种子/outfit_of_the_day-交付物-v0.1.md,§C3-4 + §C1-3,,explicit_play_card,direct_quote,domain_general,KP-styling_rule-ootd-micro-suspense-decision-chain
EV-KP-styling_rule-ootd-route-fitness-not-display,Q2-内容类型种子/outfit_of_the_day-交付物-v0.1.md,§C3-1 + §E3/E4 + §D,,explicit_play_card,direct_quote,domain_general,KP-styling_rule-ootd-route-fitness-not-display
EV-KP-training_unit-behind-scenes-near-disaster-narrative,Q2-内容类型种子/behind_the_scenes-交付物-v0.1.md,§C2-1 + §E5,,explicit_play_card,direct_quote,domain_general,KP-training_unit-behind-scenes-near-disaster-narrative
EV-KP-training_unit-ootd-anti-hard-ad-discipline,Q2-内容类型种子/outfit_of_the_day-交付物-v0.1.md,§E3 + §E4 + §E6 + 与试点版差异 + 北极星,,explicit_business_decision,direct_quote,domain_general,KP-training_unit-ootd-anti-hard-ad-discipline
